userName,content,score,sentimen,sentimen_encoded,content_cleaned
Yudi Gocar,best,5,Puas,1,best
andi ka,gimana si maxim bulan bln update tarif ongkos,4,Puas,1,gimana si maxim bulan bln update tarif ongkos
Ndari Love74,ribet bangeu daftar tumpang jga,1,Tidak Puas,2,ribet bangeu daftar tumpang jga
syahputra Lumbantoruan31.,top kaspro cash buru buru gamasuk aplikasi curi,1,Tidak Puas,2,top kaspro cash buru buru gamasuk aplikasi curi
Danish Fayza,lokasi suka valid aplikasi jelek,1,Tidak Puas,2,lokasi suka valid aplikasi jelek
Sardianto la andi La andi,knpa aplikasi susah skali log aneh aplikasi tdk bagus,1,Tidak Puas,2,knpa aplikasi susah skali log aneh aplikasi tdk bagus
Nasty Reaper,aplikasi tipu isi e wallet masuk ngga kepake cacattt,1,Tidak Puas,2,aplikasi tipu isi e wallet masuk ngga kepake cacattt
Ranis Lestari,log,1,Tidak Puas,2,log
Rusnia Abdillah,aplikasi idiot topup non tunai gabisa gunain titik jemput sesuai pas klik beda titik bug aplikasi gaada konsisten,1,Tidak Puas,2,aplikasi idiot topup non tunai gabisa gunain titik jemput sesuai pas klik beda titik bug aplikasi gaada konsisten
Aulia Sri dewi,tolong kilo meterx biaya kali lipat maxim alamat km aplikasi mahal krn aplikasi kemudi,1,Tidak Puas,2,tolong kilo meterx biaya kali lipat maxim alamat km aplikasi mahal krn aplikasi kemudi
Kholifah 15,layan buruk cari laksana driver lebih harga sesuai tera aplikasi alas bintang cocok kosong bintang hubung keluar keluh kesah,1,Tidak Puas,2,layan buruk cari laksana driver lebih harga sesuai tera aplikasi alas bintang cocok kosong bintang hubung keluar keluh kesah
Andi Irsan,maxim area rote ndao harga tinggiin kalo tinggiin angkut,1,Tidak Puas,2,maxim area rote ndao harga tinggiin kalo tinggiin angkut
Anton Suseno,sumpah ribet kode otp masuk masuk sms masuk telp masuk pulsa sampe ganti akun tetep,1,Tidak Puas,2,sumpah ribet kode otp masuk masuk sms masuk telp masuk pulsa sampe ganti akun tetep
Ahmad Alif,tipu aplikasi driver miris tindak cegah aplikasi lindung driver tindak tipu rekomendasi mula,1,Tidak Puas,2,tipu aplikasi driver miris tindak cegah aplikasi lindung driver tindak tipu rekomendasi mula
Bunganabotar GSepriwati,puas dgn layan aplikasi bw motor smua,5,Puas,1,puas dgn layan aplikasi bw motor smua
darma wan,titik lokasi update titik lokasi salah paham sm drivernya,1,Tidak Puas,2,titik lokasi update titik lokasi salah paham sm drivernya
Puput Haingoke,ngeluh driver min ya ampun ak nunggu menit jalan banget gilak ak dah bilangin halus lho belok lurus drivernya bilang ap lampu merah wht lampu merah jalan belok jalan ak telat bela bain sen tujuh datengnya jam apasih capek telat jalan anjir drivernya lelet banget tolong,4,Puas,1,ngeluh driver min ya ampun ak nunggu menit jalan banget gilak ak dah bilangin halus lho belok lurus drivernya bilang ap lampu merah wht lampu merah jalan belok jalan ak telat bela bain sen tujuh datengnya jam apasih capek telat jalan anjir drivernya lelet banget tolong
Aji Polsuspas,maxim knp si,1,Tidak Puas,2,maxim knp si
anggrek 55,murah balik cancle ojolnya bkn langgan,3,Netral,0,murah balik cancle ojolnya bkn langgan
Sahwal Syarif,suka aplikasi guna,5,Puas,1,suka aplikasi guna
Jenny Kunthi,msuk aplikasi lg susah banget mnta kirim ulang lwt sms pake aplikasi maxim aplikasi,1,Tidak Puas,2,msuk aplikasi lg susah banget mnta kirim ulang lwt sms pake aplikasi maxim aplikasi
Tasya Novalia,j,4,Puas,1,j
Lyono Prakoso,tolong akun tumpang vermuk cantumin nomer telpon biar order fiktif akurasi maps tolong baik akun driver km jalanin maps km bikin driver lambat,1,Tidak Puas,2,tolong akun tumpang vermuk cantumin nomer telpon biar order fiktif akurasi maps tolong baik akun driver km jalanin maps km bikin driver lambat
ellyn varel,apk bgus mes stu org maxim mlh hrga sesuai titik jemput dn sesuai aplikasi shrsnya sy byr mnjdi tlong kali titik pnjemputan sgtu ya sgtu aj gsh naik hrga kmbli,1,Tidak Puas,2,apk bgus mes stu org maxim mlh hrga sesuai titik jemput dn sesuai aplikasi shrsnya sy byr mnjdi tlong kali titik pnjemputan sgtu ya sgtu aj gsh naik hrga kmbli
Yoga Prtma,banyak driver suka lawan arah bahaya tumpang orang jemput banyak jga banyak suka ugal lan jalan,1,Tidak Puas,2,banyak driver suka lawan arah bahaya tumpang orang jemput banyak jga banyak suka ugal lan jalan
Christina Ball,aplikasi sampah daftar kagak kode otp pakai nomor beda,1,Tidak Puas,2,aplikasi sampah daftar kagak kode otp pakai nomor beda
Ike Cibby,min driver mu sopan ajar bahasa alamat muluk tinggal speedboat alhasil tiket hangus nila gitu cancel trus cari driver eh muncul kali driver sopan bahasa ngatain customer gila kau loh kalo pakai grab ngasih fee dikatain,1,Tidak Puas,2,min driver mu sopan ajar bahasa alamat muluk tinggal speedboat alhasil tiket hangus nila gitu cancel trus cari driver eh muncul kali driver sopan bahasa ngatain customer gila kau loh kalo pakai grab ngasih fee dikatain
Ronal Jebarut,bagus,5,Puas,1,bagus
Ajis Supriyanto,mes taxdrever,1,Tidak Puas,2,mes taxdrever
Arip Menjangan,aplikasi gimana pesan ojek hapus download hapus download tolong baik,1,Tidak Puas,2,aplikasi gimana pesan ojek hapus download hapus download tolong baik
Randy Zanjayi,sanga mudah,5,Puas,1,sanga mudah
Eka Eka,bantu,3,Netral,0,bantu
Reguel Marbun,anjg saldo kaspro dh isi maxim isi,1,Tidak Puas,2,anjg saldo kaspro dh isi maxim isi
Minecraft FaDan,dah pilih bayar akun otomatis ganti cash dah diskon akun ku,3,Netral,0,dah pilih bayar akun otomatis ganti cash dah diskon akun ku
firdaus intisel,kali kecewa maxim driver beres nunggu dilewatin stop nelpon anak istri gw nungguin pulang hujan,1,Tidak Puas,2,kali kecewa maxim driver beres nunggu dilewatin stop nelpon anak istri gw nungguin pulang hujan
Ratu Gressia,kemudi tingkah hujan terima order sen mobil kayak orang butuh duit,1,Tidak Puas,2,kemudi tingkah hujan terima order sen mobil kayak orang butuh duit
agus harianto,keren,5,Puas,1,keren
Juribah Jibah,iya suka,5,Puas,1,iya suka
Nazril Ilham,aplikasi tolol dunia,1,Tidak Puas,2,aplikasi tolol dunia
Seh Ahmad,top jelek babi,1,Tidak Puas,2,top jelek babi
Yulia Rekasari,isi ewalet kaspro banget masuk ny truss driver ny jg banyak profesional smg maxim,2,Tidak Puas,2,isi ewalet kaspro banget masuk ny truss driver ny jg banyak profesional smg maxim
Satia nalasti,maxim tolong layan driver ny buruk barusan leceh kn driver maxim trauma mata pertanggungjawaban maxim sya lapor apk maxim asa,1,Tidak Puas,2,maxim tolong layan driver ny buruk barusan leceh kn driver maxim trauma mata pertanggungjawaban maxim sya lapor apk maxim asa
Xulovva Tien,kecewa tim driver maxim layan etika driver gojek layak jempol kemaren maxim komplen aplikasi driver kemudi rokok sadar etika peka konsumen nyaman asap rokok gumpal wajah jalan nyaman tahan nafas pagi driver labrak terima komplen,1,Tidak Puas,2,kecewa tim driver maxim layan etika driver gojek layak jempol kemaren maxim komplen aplikasi driver kemudi rokok sadar etika peka konsumen nyaman asap rokok gumpal wajah jalan nyaman tahan nafas pagi driver labrak terima komplen
Muhammad Wahyu,maaf seblom maksud guna akun drive maxsim klau ketgasan skck sim kali order food order fiktif kadang beli nmor aktif pas beli tinggal eh kensel bijak tidak tegas kembali ganti rugi nama rugi driver orang lari drive maxim lari gojek jamin,1,Tidak Puas,2,maaf seblom maksud guna akun drive maxsim klau ketgasan skck sim kali order food order fiktif kadang beli nmor aktif pas beli tinggal eh kensel bijak tidak tegas kembali ganti rugi nama rugi driver orang lari drive maxim lari gojek jamin
Rian Maulana,top,5,Puas,1,top
Sajarah Sajarah,kadang terima driver batalin,4,Puas,1,kadang terima driver batalin
Chrisna Murthry,min voucher bayar bayar driver kecewa,2,Tidak Puas,2,min voucher bayar bayar driver kecewa
The Queen,bagus cuman beli merchant brg enggk uang,2,Tidak Puas,2,bagus cuman beli merchant brg enggk uang
Satria S Dg Situju,ok,5,Puas,1,ok
Aisah Alijaya,driver ngasih estimasi menit pas menit kendara tuh bagus,2,Tidak Puas,2,driver ngasih estimasi menit pas menit kendara tuh bagus
Ester Kumajas,kali download apk maxim skg kayak,4,Puas,1,kali download apk maxim skg kayak
adi jhons,isi caspro lambat masuk masuk,1,Tidak Puas,2,isi caspro lambat masuk masuk
Atiriani Waruwu,keren,5,Puas,1,keren
Paulus Ganteng,drivermu prioritas aneh aneh heran akun maxim isi orang pilih,1,Tidak Puas,2,drivermu prioritas aneh aneh heran akun maxim isi orang pilih
Ayunda intan Aryani,maxim klo pilih driver seleksi ya pesan maxim drivernya kaya preman driver pake helm driver nganter customer dengarin musik headset pake jaket tolong seleksi ya,1,Tidak Puas,2,maxim klo pilih driver seleksi ya pesan maxim drivernya kaya preman driver pake helm driver nganter customer dengarin musik headset pake jaket tolong seleksi ya
Hasbi Syukri,good,5,Puas,1,good
