userName,content,score,sentimen,sentimen_encoded
Yudi Gocar,best,5,Puas,1
andi ka,gimana si maxim bulan bln update tarif ongkos,4,Netral,0
Ndari Love74,ribet bangeu daftar tumpang jga,1,Netral,0
syahputra Lumbantoruan31.,top kaspro cash buru buru gamasuk aplikasi curi,1,Puas,1
Danish Fayza,lokasi suka valid aplikasi jelek,1,Tidak Puas,2
Sardianto la andi La andi,knpa aplikasi susah skali log aneh aplikasi tdk bagus,1,Tidak Puas,2
Nasty Reaper,aplikasi tipu isi e wallet masuk ngga kepake cacattt,1,Netral,0
Ranis Lestari,log,1,Netral,0
Rusnia Abdillah,aplikasi idiot topup non tunai gabisa gunain titik jemput sesuai pas klik beda titik bug aplikasi gaada konsisten,1,Tidak Puas,2
Aulia Sri dewi,tolong kilo meterx biaya kali lipat maxim alamat km aplikasi mahal krn aplikasi kemudi,1,Tidak Puas,2
Kholifah 15,layan buruk cari laksana driver lebih harga sesuai tera aplikasi alas bintang cocok kosong bintang hubung keluar keluh kesah,1,Tidak Puas,2
Andi Irsan,maxim area rote ndao harga tinggiin kalo tinggiin angkut,1,Netral,0
Anton Suseno,sumpah ribet kode otp masuk masuk sms masuk telp masuk pulsa sampe ganti akun tetep,1,Netral,0
Ahmad Alif,tipu aplikasi driver miris tindak cegah aplikasi lindung driver tindak tipu rekomendasi mula,1,Netral,0
Bunganabotar GSepriwati,puas dgn layan aplikasi bw motor smua,5,Puas,1
darma wan,titik lokasi update titik lokasi salah paham sm drivernya,1,Tidak Puas,2
Puput Haingoke,ngeluh driver min ya ampun ak nunggu menit jalan banget gilak ak dah bilangin halus lho belok lurus drivernya bilang ap lampu merah wht lampu merah jalan belok jalan ak telat bela bain sen tujuh datengnya jam apasih capek telat jalan anjir drivernya lelet banget tolong,4,Tidak Puas,2
Aji Polsuspas,maxim knp si,1,Netral,0
anggrek 55,murah balik cancle ojolnya bkn langgan,3,Netral,0
Sahwal Syarif,suka aplikasi guna,5,Netral,0
Jenny Kunthi,msuk aplikasi lg susah banget mnta kirim ulang lwt sms pake aplikasi maxim aplikasi,1,Tidak Puas,2
Tasya Novalia,j,4,Netral,0
Lyono Prakoso,tolong akun tumpang vermuk cantumin nomer telpon biar order fiktif akurasi maps tolong baik akun driver km jalanin maps km bikin driver lambat,1,Tidak Puas,2
ellyn varel,apk bgus mes stu org maxim mlh hrga sesuai titik jemput dn sesuai aplikasi shrsnya sy byr mnjdi tlong kali titik pnjemputan sgtu ya sgtu aj gsh naik hrga kmbli,1,Netral,0
Yoga Prtma,banyak driver suka lawan arah bahaya tumpang orang jemput banyak jga banyak suka ugal lan jalan,1,Netral,0
Christina Ball,aplikasi sampah daftar kagak kode otp pakai nomor beda,1,Tidak Puas,2
Ike Cibby,min driver mu sopan ajar bahasa alamat muluk tinggal speedboat alhasil tiket hangus nila gitu cancel trus cari driver eh muncul kali driver sopan bahasa ngatain customer gila kau loh kalo pakai grab ngasih fee dikatain,1,Tidak Puas,2
Ronal Jebarut,bagus,5,Puas,1
Ajis Supriyanto,mes taxdrever,1,Netral,0
Arip Menjangan,aplikasi gimana pesan ojek hapus download hapus download tolong baik,1,Puas,1
Randy Zanjayi,sanga mudah,5,Netral,0
Eka Eka,bantu,3,Netral,0
Reguel Marbun,anjg saldo kaspro dh isi maxim isi,1,Netral,0
Minecraft FaDan,dah pilih bayar akun otomatis ganti cash dah diskon akun ku,3,Netral,0
firdaus intisel,kali kecewa maxim driver beres nunggu dilewatin stop nelpon anak istri gw nungguin pulang hujan,1,Tidak Puas,2
Ratu Gressia,kemudi tingkah hujan terima order sen mobil kayak orang butuh duit,1,Netral,0
agus harianto,keren,5,Netral,0
Juribah Jibah,iya suka,5,Netral,0
Nazril Ilham,aplikasi tolol dunia,1,Netral,0
Seh Ahmad,top jelek babi,1,Puas,1
Yulia Rekasari,isi ewalet kaspro banget masuk ny truss driver ny jg banyak profesional smg maxim,2,Netral,0
Satia nalasti,maxim tolong layan driver ny buruk barusan leceh kn driver maxim trauma mata pertanggungjawaban maxim sya lapor apk maxim asa,1,Tidak Puas,2
Xulovva Tien,kecewa tim driver maxim layan etika driver gojek layak jempol kemaren maxim komplen aplikasi driver kemudi rokok sadar etika peka konsumen nyaman asap rokok gumpal wajah jalan nyaman tahan nafas pagi driver labrak terima komplen,1,Tidak Puas,2
